stimuli,category,condition,sound,excluded,corpes_abs,corpes_norm_spain
bata,clothing,plosive,b,.,4.35,"12,85"
boina,clothing,plosive,b,.,1.014,"2,65"
vaquero,clothing,plosive,b,.,3.29,"12,76"
bufanda,clothing,plosive,b,.,1.485,"4,78"
bañador,clothing,plosive,b,.,808,"5,15"
babero,clothing,plosive,b,.,159,"0,69"
vinagre,food,plosive,b,.,3.315,"11,53"
verdura,food,plosive,b,.,9.304,"31,75"
bizcocho,food,plosive,b,.,1.557,"6,42"
boqueron,food,plosive,b,.,647,"1,69"
bombon,food,plosive,b,.,1.231,"4,48"
vino,food,plosive,b,.,32.026,"107,12"
bolígrafo,objects,plosive,b,.,1.631,"8,52"
balón,objects,plosive,b,.,14.029,"49,44"
violín,objects,plosive,b,.,3.868,"7,35"
vaso,objects,plosive,b,.,20.481,"59,31"
bolsa,objects,plosive,b,.,26.14,"75,44"
balde,objects,plosive,b,.,1.295,"8,23"
botella,objects,plosive,b,.,19.958,"51,42"
falda,clothing,fricative,f,.,7.921,"22,26"
forro,clothing,fricative,f,.,817,"1,99"
fular,clothing,fricative,f,.,140,"0,93"
faja,clothing,fricative,f,.,1.495,"9,20"
frac,clothing,fricative,f,.,447,"1,51"
fideos,food,fricative,f,.,1.23,"7,61"
fajitas,food,fricative,f,.,48,"0,16"
fabada,food,fricative,f,.,164,"1,02"
fideua,food,fricative,f,.,2,"0,02"
filete,food,fricative,f,.,874,"2,80"
fondúe,food,fricative,f,.,109,"0,26"
fotografía,objects,fricative,f,.,18.441,"61,55"
farol,objects,fricative,f,.,808,"2,23"
fúsil,objects,fricative,f,.,2.111,"4,13"
ficha,objects,fricative,f,.,4.28,"13,79"
funda,objects,fricative,f,.,2.585,"7,64"
filtro,objects,fricative,f,.,2.974,"7,88"
felpudo,objects,fricative,f,.,170,"0,90"
capucha,clothing,plosive,k,NA,,
corbata,clothing,plosive,k,NA,,
camisón,clothing,plosive,k,NA,,
collar,clothing,plosive,k,NA,,
cacao,food,plosive,k,NA,,
queso,food,plosive,k,NA,,
coliflor,food,plosive,k,NA,,
canapés,food,plosive,k,NA,,
cuchillo,objects,plosive,k,NA,,
cometa,objects,plosive,k,NA,,
cascabel,objects,plosive,k,NA,,
carta,objects,plosive,k,NA,,
medias,clothing,nasal,m,.,8.45,"20,49"
minifalda,clothing,nasal,m,.,712,"1,68"
