"","stimuli","category","condition","sound","corpes_norm_spain","outlier","element","mean","median","n.char","Number","S1","S2","S3","S4","S5","S6"
"1","bacalao","food","plosive","b",7.55,"FALSE","word",6.45605263157895,4.855,7,1,"El","bacalao","está","marinado","en","limón"
"2","bacalao","food","plosive","b",7.55,"FALSE","word",6.45605263157895,4.855,7,3,"El","bacalao","con","patatas","es","delicioso"
"3","bacalao","food","plosive","b",7.55,"FALSE","word",6.45605263157895,4.855,7,2,"El","bacalao","se","cocina","al","vapor"
"4","bacalao","food","plosive","b",7.55,"FALSE","word",6.45605263157895,4.855,7,4,"El","bacalao","está","en","oferta","hoy"
"5","balde","objects","plosive","b",8.23,"FALSE","word",7.26432432432432,6.89,5,3,"El","balde","se","desbordó","con","lluvia"
"6","balde","objects","plosive","b",8.23,"FALSE","word",7.26432432432432,6.89,5,4,"El","balde","sirve","para","regar","plantas"
"7","balde","objects","plosive","b",8.23,"FALSE","word",7.26432432432432,6.89,5,1,"El","balde","está","lleno","de","hielo"
"8","balde","objects","plosive","b",8.23,"FALSE","word",7.26432432432432,6.89,5,2,"El","balde","tiene","una","tapa","rota"
"9","bizcocho","food","plosive","b",6.42,"FALSE","word",6.45605263157895,4.855,8,3,"El","bizcocho","lleva","frutas","y","nueces"
"10","bizcocho","food","plosive","b",6.42,"FALSE","word",6.45605263157895,4.855,8,4,"El","bizcocho","de","limón","me","encanta"
"11","bizcocho","food","plosive","b",6.42,"FALSE","word",6.45605263157895,4.855,8,1,"El","bizcocho","se","desmoronó","en","pedazos"
"12","bizcocho","food","plosive","b",6.42,"FALSE","word",6.45605263157895,4.855,8,2,"El","bizcocho","estaba","suave","y","esponjoso"
"13","bocadillo","food","plosive","b",6.86,"FALSE","word",6.45605263157895,4.855,9,3,"El","bocadillo","de","atún","tiene","mayonesa"
"14","bocadillo","food","plosive","b",6.86,"FALSE","word",6.45605263157895,4.855,9,1,"El","bocadillo","de","queso","sabe","bien"
"15","bocadillo","food","plosive","b",6.86,"FALSE","word",6.45605263157895,4.855,9,4,"El","bocadillo","de","chorizo","estaba","picante"
"16","bocadillo","food","plosive","b",6.86,"FALSE","word",6.45605263157895,4.855,9,2,"El","bocadillo","de","tortilla","está","delicioso"
"17","boina","objects","plosive","b",2.72,"FALSE","word",7.26432432432432,6.89,5,3,"La","boina","francesa","es","muy","elegante"
"18","boina","objects","plosive","b",2.72,"FALSE","word",7.26432432432432,6.89,5,4,"La","boina","negra","le","va","bien"
"19","boina","objects","plosive","b",2.72,"FALSE","word",7.26432432432432,6.89,5,1,"La","boina","de","lana","es","cómoda"
"20","boina","objects","plosive","b",2.72,"FALSE","word",7.26432432432432,6.89,5,2,"La","boina","vasca","es","muy","reconocida"
"21","bolígafo","objects","plosive","b",8.52,"FALSE","word",7.26432432432432,6.89,8,3,"El","bolígafo","negro","está","agotado",NA
"22","bolígafo","objects","plosive","b",8.52,"FALSE","word",7.26432432432432,6.89,8,4,"El","bolígafo","azul","es","mi","preferido"
"23","bolígafo","objects","plosive","b",8.52,"FALSE","word",7.26432432432432,6.89,8,1,"El","bolígafo","se","quedó","sin","tinta"
"24","bolígafo","objects","plosive","b",8.52,"FALSE","word",7.26432432432432,6.89,8,2,"Este","bolígafo","escribe","muy","suave",NA
"25","bombilla","objects","plosive","b",4.77,"FALSE","word",7.26432432432432,6.89,8,1,"La","bombilla","está","parpadeando","de","nuevo"
"26","bombilla","objects","plosive","b",4.77,"FALSE","word",7.26432432432432,6.89,8,3,"La","bombilla","se","quemó","por","sobretensión"
"27","bombilla","objects","plosive","b",4.77,"FALSE","word",7.26432432432432,6.89,8,2,"La","bombilla","LED","consume","menos","energ?a"
"28","bombilla","objects","plosive","b",4.77,"FALSE","word",7.26432432432432,6.89,8,4,"La","bombilla","ilumina","toda","la","habitación"
"29","bombón","food","plosive","b",4.48,"FALSE","word",6.45605263157895,4.855,6,4,"El","bombón","es","demasiado","dulce",NA
"30","bombón","food","plosive","b",4.48,"FALSE","word",6.45605263157895,4.855,6,1,"El","bombón","estaba","lleno","de","crema"
"31","bombón","food","plosive","b",4.48,"FALSE","word",6.45605263157895,4.855,6,3,"Este","bombón","está","relleno","de","licor"
"32","bombón","food","plosive","b",4.48,"FALSE","word",6.45605263157895,4.855,6,2,"El","bombón","estaba","envuelto","en","papel"
"33","fabada","food","fricative","f",1.02,"FALSE","word",6.45605263157895,4.855,6,3,"La","fabada","es","perfecta","en","invierno"
"34","fabada","food","fricative","f",1.02,"FALSE","word",6.45605263157895,4.855,6,4,"La","fabada","lleva","chorizo","y","morcilla"
"35","fabada","food","fricative","f",1.02,"FALSE","word",6.45605263157895,4.855,6,1,"La","fabada","es","un","plato","asturiano"
"36","fabada","food","fricative","f",1.02,"FALSE","word",6.45605263157895,4.855,6,2,"La","fabada","es","un","plato","tradicional"
"37","fajitas","food","fricative","f",0.16,"FALSE","word",6.45605263157895,4.855,7,4,"Las","fajitas","de","camarones","son","saludables"
"38","fajitas","food","fricative","f",0.16,"FALSE","word",6.45605263157895,4.855,7,3,"Las","fajitas","al","pastor","son","exquisitas"
"39","fajitas","food","fricative","f",0.16,"FALSE","word",6.45605263157895,4.855,7,2,"Las","fajitas","vegetarianas","son","muy","ricas"
"40","fajitas","food","fricative","f",0.16,"FALSE","word",6.45605263157895,4.855,7,1,"Las","fajitas","de","res","están","listas"
"41","farol","objects","fricative","f",2.23,"FALSE","word",7.26432432432432,6.89,5,4,"El","farol","de","gas","se","apagó"
"42","farol","objects","fricative","f",2.23,"FALSE","word",7.26432432432432,6.89,5,3,"El","farol","del","techo","se","tambaleaba"
"43","farol","objects","fricative","f",2.23,"FALSE","word",7.26432432432432,6.89,5,2,"El","farol","de","papel","se","rompió"
"44","farol","objects","fricative","f",2.23,"FALSE","word",7.26432432432432,6.89,5,1,"El","farol","ilumina","la","calle","oscura"
"45","ficha","objects","fricative","f",13.79,"FALSE","word",7.26432432432432,6.89,5,3,"La","ficha","describe","el","producto",NA
"46","ficha","objects","fricative","f",13.79,"FALSE","word",7.26432432432432,6.89,5,4,"La","ficha","de","respuesta","está","perdida"
"47","ficha","objects","fricative","f",13.79,"FALSE","word",7.26432432432432,6.89,5,1,"La","ficha","de","ajedrez","se","movió"
"48","ficha","objects","fricative","f",13.79,"FALSE","word",7.26432432432432,6.89,5,2,"La","ficha","del","dominó","es","doble"
"49","fideos","food","fricative","f",7.61,"FALSE","word",6.45605263157895,4.855,6,3,"Los","fideos","instantáneos","son","muy","prácticos"
"50","fideos","food","fricative","f",7.61,"FALSE","word",6.45605263157895,4.855,6,2,"Los","fideos","con","salsa","son","deliciosos"
"51","fideos","food","fricative","f",7.61,"FALSE","word",6.45605263157895,4.855,6,4,"Los","fideos","de","trigo","son","versátiles"
