"elementType";"token"
3;"manzana"
6;"salmón"
2;"fideos"
3;"martillo"
7;"vinagre"
1;"xxxx"
1;"xxxxx"
4;"naranja"
2;"ficha"
7;"bacalao"
4;"nectarina"
7;"violín"
5;"pasas"
1;"xxxxxx"
3;"monitor"
1;"xxxxxxxx"
4;"nevera"
5;"palillo"
3;"muñeco"
5;"pincel"
6;"sartén"
3;"mazapán"
7;"bombón"
7;"boina"
3;"mantequilla"
6;"sopa"
7;"bocadillo"
6;"sobre"
2;"filtro"
1;"xxxxxxxxxxx"
5;"pañuelo"
5;"paletilla"
7;"bombilla"
2;"fabada"
5;"pala"
2;"farol"
4;"neceser"
1;"xxxxx"
6;"salchicha"
6;"sello"
5;"pavo"
4;"navaja"
6;"sable"
4;"nudo"
3;"mango"
1;"xxxx"
2;"filete"
2;"fondúe"
1;"xxxxxxxx"
6;"setas"
3;"manguera"
2;"fajitas"
3;"máscara"
7;"bolígafo"
5;"paella"
3;"melón"
4;"nachos"
4;"nuez"
4;"nata"
2;"funda"
7;"balde"
5;"paraguas"
6;"soga"
5;"pollo"
2;"fúsil"
6;"sandía"
1;"xxxxxxx"
4;"naipes"
7;"bizcocho"
1;"xxxxxx"
