"elementType";"token"
6;"su"
3;"ma"
2;"fi"
3;"mu"
7;"ba"
3;"ma"
4;"ni"
2;"fi"
6;"sa"
6;"si"
4;"na"
7;"be"
1;"xx"
2;"fo"
1;"xx"
3;"mo"
4;"na"
5;"pe"
3;"me"
5;"pi"
6;"so"
1;"xx"
7;"bi"
7;"bo"
3;"mi"
6;"sa"
7;"bi"
6;"su"
2;"fe"
2;"fa"
5;"pu"
5;"pe"
7;"bu"
2;"fu"
5;"pu"
2;"fe"
4;"ne"
1;"xx"
6;"se"
6;"so"
5;"po"
4;"nu"
6;"si"
4;"ne"
3;"me"
1;"xx"
2;"fa"
2;"fo"
1;"xx"
3;"mo"
7;"ba"
1;"xx"
5;"pa"
7;"bu"
5;"pi"
4;"no"
4;"no"
2;"fu"
7;"be"
4;"ni"
7;"bo"
5;"po"
1;"xx"
3;"mi"
3;"mu"
4;"nu"
1;"xx"
6;"se"
5;"pa"
1;"xx"
