"elementType";"token"
6;"52"
3;"23"
2;"18"
3;"20"
7;"59"
3;"19"
4;"33"
2;"16"
6;"57"
6;"53"
4;"37"
7;"5"
1;"63"
2;"13"
1;"63"
3;"24"
4;"32"
5;"40"
3;"21"
5;"48"
6;"49"
1;"61"
7;"2"
7;"8"
3;"26"
6;"55"
7;"6"
6;"51"
2;"17"
2;"10"
5;"47"
5;"45"
7;"4"
2;"9"
5;"44"
2;"12"
4;"30"
1;"66"
6;"54"
6;"58"
5;"43"
4;"36"
6;"50"
4;"35"
3;"28"
1;"61"
2;"14"
2;"15"
1;"62"
3;"22"
7;"7"
1;"64"
5;"42"
7;"1"
5;"41"
4;"29"
4;"38"
2;"11"
7;"60"
4;"34"
7;"3"
5;"39"
1;"62"
3;"27"
3;"25"
4;"31"
1;"65"
6;"56"
5;"46"
1;"65"
