stimuli,sound,sem
bacalao,b,1
balde,b,2
bizcocho,b,1
bocadillo,b,1
boina,b,2
bolígafo,b,2
bombilla,b,2
bombón,b,1
fabada,f,3
fajitas,f,3
farol,f,4
ficha,f,4
fideos,f,3
filete,f,3
filtro,f,4
fondúe,f,3
funda,f,4
fúsil,f,4
mango,m,5
manguera,m,6
mantequilla,m,5
manzana,m,5
martillo,m,6
máscara,m,6
mazapán,m,5
melón,m,5
monitor,m,6
muñeco,m,6
nachos,n,7
naipes,n,8
naranja,n,7
nata,n,7
navaja,n,8
neceser,n,8
nectarina,n,7
nevera,n,8
nudo,n,8
nuez,n,7
paella,p,9
pala,p,10
paletilla,p,9
palillo,p,10
pañuelo,p,10
paraguas,p,10
pasas,p,9
pavo,p,9
pincel,p,10
pollo,p,9
sable,s,12
salchicha,s,11
salmón,s,11
sandía,s,11
sartén,s,12
sello,s,12
setas,s,11
sobre,s,12
soga,s,12
sopa,s,11
vinagre,b,1
violín,b,2
xxxx,x,0
xxxxxxx,x,0
xxxxxx,x,0
xxxxx,x,0
xxxxx,x,0
xxxxxxxx,x,0
xxxxxxxx,x,0
xxxx,x,0
xxxxxxxxxxx,x,0
xxxxxx,x,0
